"","Player","Tm","Salary","idTeam","gp","gs","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","minutes","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts"
"131","Jerryd Bayless","PHI",9e+06,0,552,93,3,7.2,0.414,0.9,2.3,0,0.824,2.1,4.9,0.428571428571429,21.4,1.7,2.1,0.3,1.8,2.1,2.8,0.6,0.1,1.4,2.1,8.5
"132","Avery Bradley","LAC",8808989,0,459,386,5,11.3,0.439,1.3,3.5,0,0.772,3.7,7.8,0.474358974358974,28.4,1.1,1.4,0.6,2.4,3,1.7,1.1,0.2,1.5,2.1,12.3
"133","JaMychal Green","MEM",8533333,0,234,145,3.1,6.5,0.477,0.5,1.4,0,0.765,2.6,5.1,0.509803921568628,22.4,1.4,1.8,2,4.1,6.1,1,0.6,0.4,1.1,2.6,8.1
"134","E'Twaun Moore","NOP",8445024,0,462,148,3.1,6.8,0.455,0.9,2.3,0,0.74,2.2,4.5,0.488888888888889,21,0.5,0.7,0.4,1.5,2,1.8,0.7,0.2,0.9,1.6,7.6
"135","Rudy Gay","SAS",8406000,0,810,721,6.8,15,0.453,1,3,0,0.795,5.8,12,0.483333333333333,34.6,3.3,4.2,1.5,4.4,5.9,2.2,1.3,0.8,2.3,2.4,17.9
"136","Kosta Koufos","SAC",8393000,0,644,227,2.6,4.9,0.537,0,0,0,0.587,2.6,4.9,0.530612244897959,16.7,0.6,1.1,1.8,3.3,5.1,0.5,0.4,0.8,0.7,2.1,5.8
"137","Markieff Morris","WAS",8e+06,0,521,315,4.6,10.2,0.451,0.7,2.1,0,0.778,3.9,8.1,0.481481481481481,26.4,1.9,2.5,1.4,4.3,5.6,1.7,0.9,0.6,1.7,2.9,11.9
"138","Vince Carter","SAC",8e+06,0,1405,973,6.4,14.6,0.437,1.5,4,0,0.799,4.9,10.6,0.462264150943396,31.4,3.4,4.3,1.1,3.3,4.5,3.3,1,0.6,1.8,2.7,17.7
"139","Garrett Temple","SAC",8e+06,0,439,156,2,4.9,0.405,0.8,2.2,0,0.725,1.2,2.7,0.444444444444444,19.1,0.8,1.1,0.4,1.6,2,1.7,0.8,0.3,0.9,1.8,5.5
"140","Cristiano Felicio","CHI",7843500,0,152,20,1.9,3.3,0.581,0,0,0,0.665,1.9,3.3,0.575757575757576,15.4,0.9,1.4,1.6,2.7,4.3,0.8,0.3,0.3,0.7,1.6,4.8
"141","Shaun Livingston","GSW",7692308,0,769,191,2.7,5.5,0.485,0,0.1,0,0.794,2.7,5.4,0.5,21.1,1.1,1.4,0.6,1.9,2.4,3.1,0.7,0.4,1.3,1.9,6.5
"142","Cory Joseph","IND",7630000,0,446,86,2.7,6.1,0.45,0.4,1.2,0,0.765,2.3,4.9,0.469387755102041,20.8,1.1,1.5,0.5,1.9,2.4,2.6,0.7,0.2,1,1.4,7
"143","Corey Brewer","LAL",7579366,0,783,307,3.4,7.9,0.425,0.6,2.2,0,0.713,2.8,5.7,0.491228070175439,23.3,1.5,2.1,0.7,2.1,2.8,1.5,1.3,0.3,1.2,2.2,8.9
"144","Andrew Wiggins","MIN",7574322,0,327,327,7.2,16.2,0.447,1,2.9,0,0.741,6.2,13.3,0.466165413533835,36.2,4.3,5.8,1.3,2.8,4.1,2.1,1,0.5,2.1,2.1,19.7
"145","Darrell Arthur","DEN",7464912,0,503,106,2.7,6.2,0.444,0.3,0.9,0,0.765,2.4,5.3,0.452830188679245,17.8,0.7,0.9,1.1,2.4,3.5,0.8,0.6,0.6,0.8,2.5,6.5
"146","Greg Monroe","BOS",5e+06,0,589,415,5.5,10.7,0.515,0,0,0,0.707,5.5,10.7,0.514018691588785,28.9,2.7,3.8,2.9,5.7,8.6,2.3,1.1,0.6,2,2.3,13.7
"147","Jamal Crawford","MIN",4328000,0,1262,433,5.2,12.7,0.41,1.7,4.9,0,0.862,3.5,7.8,0.448717948717949,29.9,2.9,3.3,0.4,1.9,2.3,3.4,0.9,0.2,1.9,1.5,15
"148","Dwyane Wade","MIA",2328652,0,982,907,8.2,17,0.483,0.5,1.6,0,0.767,7.7,15.4,0.5,34.5,5.6,7.4,1.2,3.5,4.7,5.5,1.6,0.9,3.2,2.3,22.5
"149","Joe Johnson","HOU",749905,0,1276,1091,6.1,13.9,0.441,1.6,4.2,0,0.802,4.5,9.7,0.463917525773196,34.7,2.2,2.7,0.8,3.1,4,3.9,0.8,0.2,1.9,1.8,16
