"","Player","Tm","Salary","idTeam","gp","gs","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","minutes","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts"
"33","LaMarcus Aldridge","SAS",21461010,0,869,828,7.9,16.1,0.489,0.1,0.4,0,0.806,7.8,15.7,0.496815286624204,34.6,3.5,4.4,2.7,5.6,8.3,1.9,0.8,1.1,1.6,2.5,19.4
"34","Victor Oladipo","IND",2.1e+07,0,366,309,6.4,14.4,0.445,1.5,4.2,0,0.8,4.9,10.2,0.480392156862745,33.4,3.1,3.8,0.6,3.9,4.5,3.8,1.7,0.5,2.6,2.5,17.4
"35","Enes Kanter","NYK",20566802,0,516,185,4.8,8.8,0.539,0.1,0.2,0,0.779,4.7,8.6,0.546511627906977,21.9,2.1,2.7,2.8,4.5,7.3,0.7,0.4,0.5,1.6,2.2,11.7
"36","Danilo Gallinari","LAC",20559599,0,481,411,4.6,11,0.419,1.8,4.9,0,0.865,2.8,6.1,0.459016393442623,31.2,4.3,4.9,0.8,3.9,4.7,2,0.8,0.4,1.3,1.9,15.3
"37","Serge Ibaka","TOR",20061729,0,679,568,5,9.8,0.512,0.6,1.7,0,0.761,4.4,8.1,0.54320987654321,28.9,1.4,1.9,2.2,5,7.2,0.7,0.4,2.2,1.3,2.8,12.1
"38","George Hill","CLE",2e+07,0,666,434,4.1,9,0.453,1.2,3.3,0,0.8,2.9,5.7,0.508771929824561,28.8,2.1,2.7,0.6,2.6,3.2,3.3,0.9,0.3,1.3,2.1,11.6
"39","Ryan Anderson","HOU",19578455,0,622,281,4.4,10.4,0.423,2.1,5.5,0,0.855,2.3,4.9,0.469387755102041,26.4,1.9,2.2,2,3.4,5.4,0.9,0.5,0.3,1,2,12.8
"40","Paul George","OKC",19508958,0,527,479,6.4,14.7,0.432,2.2,5.8,0,0.845,4.2,8.9,0.471910112359551,33.4,3.8,4.4,0.9,5.3,6.2,3.2,1.7,0.4,2.6,2.7,18.6
"41","Allen Crabbe","BRK",19332500,0,301,92,3.4,7.8,0.439,1.6,4,0,0.849,1.8,3.8,0.473684210526316,24.4,1.1,1.3,0.3,2.5,2.8,1.2,0.6,0.3,0.7,2,9.5
"42","Jimmy Butler","MIN",19301070,0,458,353,5.3,11.8,0.452,0.9,2.6,0,0.832,4.4,9.2,0.478260869565217,32.8,4.8,5.8,1.4,3.5,4.9,3.4,1.5,0.5,1.5,1.4,16.4
"43","Jeff Teague","MIN",1.9e+07,0,670,535,4.5,10.1,0.447,0.9,2.5,0,0.844,3.6,7.6,0.473684210526316,27.6,2.8,3.3,0.3,2.1,2.5,5.7,1.2,0.3,2.3,1.9,12.7
"44","Kawhi Leonard","SAS",18868625,0,407,380,6,12.1,0.495,1.3,3.4,0,0.846,4.7,8.7,0.540229885057471,30.4,3.1,3.7,1.3,4.9,6.2,2.3,1.8,0.7,1.4,1.7,16.3
"45","Kyrie Irving","BOS",18868625,0,441,441,8,17.4,0.462,2,5.2,0,0.875,6,12.2,0.491803278688525,33.9,3.9,4.5,0.7,2.7,3.4,5.5,1.3,0.3,2.7,2.2,22
"46","John Wall","WAS",18063850,0,541,529,6.8,15.8,0.432,0.9,2.8,0,0.786,5.9,13,0.453846153846154,35.9,4.3,5.5,0.6,3.8,4.4,9.2,1.7,0.7,3.8,2.3,18.9
"47","DeMarcus Cousins","NOP",18063850,0,535,513,7.7,16.7,0.46,0.6,1.7,0,0.737,7.1,15,0.473333333333333,32.4,5.6,7.6,2.8,8.2,11,3.2,1.4,1.2,3.6,3.9,21.5
"48","Greg Monroe","PHO",17884176,0,589,415,5.5,10.7,0.515,0,0,0,0.707,5.5,10.7,0.514018691588785,28.9,2.7,3.8,2.9,5.7,8.6,2.3,1.1,0.6,2,2.3,13.7
"49","Wesley Matthews","DAL",17884176,0,655,595,4.7,11.1,0.427,2.1,5.6,0,0.827,2.6,5.5,0.472727272727273,32.8,2.2,2.7,0.5,2.6,3.2,2.2,1.1,0.2,1.3,2.2,13.8
"50","Klay Thompson","GSW",17826150,0,537,500,7.2,15.7,0.458,2.9,6.9,0,0.852,4.3,8.8,0.488636363636364,32.9,1.9,2.3,0.4,3,3.4,2.3,0.9,0.5,1.7,2.2,19.2
"51","Joakim Noah","NYK",17765000,0,625,511,3.4,7,0.49,0,0,0,0.699,3.4,7,0.485714285714286,28.6,2.1,3,3.3,6,9.3,2.9,0.8,1.3,1.7,2.8,8.9
"52","Kentavious Caldwell-Pope","LAL",17745894,0,388,348,4.3,10.6,0.409,1.6,4.8,0,0.786,2.7,5.8,0.46551724137931,30.8,1.7,2.1,0.7,2.7,3.4,1.7,1.2,0.2,1.1,1.9,12
"53","Luol Deng","LAL",17190000,0,880,826,5.8,12.7,0.455,0.7,2.2,0,0.77,5.1,10.5,0.485714285714286,34.7,2.7,3.6,1.6,4.5,6.1,2.3,1,0.5,1.6,1.7,15
"54","Evan Turner","POR",17131148,0,613,293,4.1,9.5,0.433,0.4,1.4,0,0.788,3.7,8.1,0.45679012345679,27.9,1.6,2,0.6,4.2,4.8,3.5,0.8,0.3,1.8,2,10.2
"55","Goran Dragic","MIA",17000450,0,722,486,5.1,10.8,0.469,1.1,3.1,0,0.762,4,7.7,0.519480519480519,28,2.5,3.2,0.7,2.3,3.1,4.8,1,0.2,2.3,2.3,13.7
"56","Evan Fournier","ORL",1.7e+07,0,376,234,4.7,10.5,0.448,1.6,4.3,0,0.804,3.1,6.2,0.5,27.2,2.1,2.7,0.4,2.2,2.7,2.3,0.8,0.1,1.6,2.4,13.1
"57","Bismack Biyombo","ORL",1.7e+07,0,529,210,1.9,3.7,0.513,0,0,0,0.566,1.9,3.7,0.513513513513513,20.9,1.2,2.2,2,4.5,6.5,0.5,0.3,1.4,0.9,2.2,5
"58","Kent Bazemore","ATL",16910113,0,416,222,3,7,0.422,1,2.7,0,0.718,2,4.3,0.465116279069767,20,1.3,1.9,0.3,2.6,2.9,1.8,1,0.4,1.4,1.8,8.2
"59","Robert Covington","PHI",16698103,0,291,245,4.2,10.5,0.399,2.3,6.5,0,0.82,1.9,4,0.475,29.4,2,2.4,1,4.6,5.5,1.6,1.6,0.7,1.8,3,12.7
"60","Ian Mahinmi","WAS",16661641,0,546,92,1.9,3.6,0.541,0,0,0,0.607,1.9,3.6,0.527777777777778,16.6,1.3,2.1,1.5,2.8,4.3,0.5,0.6,0.7,1,2.6,5.1
"61","Tim Hardaway","NYK",16500000,0,867,770,6.5,15.1,0.431,1.8,5,0,0.782,4.7,10.1,0.465346534653465,35.3,2.9,3.8,0.6,2.7,3.3,8.2,1.6,0.1,2.9,2.3,17.7
"62","Draymond Green","GSW",16400000,0,467,319,3.3,7.6,0.438,0.9,2.9,0,0.707,2.4,4.7,0.51063829787234,27.7,1.7,2.3,1.2,5.7,6.9,4.6,1.4,1.1,2,2.8,9.3
"63","Tristan Thompson","CLE",16400000,0,519,338,3.6,6.9,0.518,0,0,0,0.608,3.6,6.9,0.521739130434783,27.8,1.9,3.1,3.3,5.1,8.4,0.8,0.5,0.7,1.1,2.4,9
"64","Reggie Jackson","DET",1.6e+07,0,448,250,4.7,10.9,0.43,1,3,0,0.857,3.7,7.9,0.468354430379747,24.8,2.1,2.4,0.5,2.5,3,4.4,0.7,0.1,2,1.8,12.4
"65","Pau Gasol","SAS",1.6e+07,0,1196,1144,6.6,13.1,0.508,0.1,0.4,0,0.754,6.5,12.7,0.511811023622047,34,4,5.2,2.6,6.8,9.3,3.2,0.5,1.6,2.2,2.2,17.4
"66","Tobias Harris","LAC",1.6e+07,0,464,344,5.6,11.9,0.467,1.1,3.2,0,0.812,4.5,8.7,0.517241379310345,29.6,2.4,2.9,1,4.6,5.6,1.7,0.8,0.5,1.3,1.9,14.6
"67","Dwyane Wade","CHI",15550000,0,982,907,8.2,17,0.483,0.5,1.6,0,0.767,7.7,15.4,0.5,34.5,5.6,7.4,1.2,3.5,4.7,5.5,1.6,0.9,3.2,2.3,22.5
"68","Dennis Schroder","ATL",15500000,0,352,161,4.9,11.3,0.434,0.9,2.8,0,0.827,4,8.5,0.470588235294118,23.7,2.2,2.6,0.4,2.1,2.5,4.8,0.8,0.1,2.4,1.7,12.9
"69","Jonas Valanciunas","TOR",15460675,0,440,434,4.6,8.2,0.558,0.1,0.2,0,0.785,4.5,8,0.5625,25.5,2.4,3.1,2.6,5.9,8.5,0.7,0.4,1,1.5,2.8,11.7
"70","Tony Parker","SAS",15453126,0,1198,1151,6.3,12.8,0.492,0.4,1.3,0,0.752,5.9,11.5,0.513043478260869,31.1,2.8,3.7,0.4,2.4,2.8,5.7,0.9,0.1,2.3,1.7,15.8
"71","Timofey Mozgov","BRK",15280000,0,454,273,2.7,5.1,0.535,0,0.1,0,0.738,2.7,5,0.54,18,1.3,1.8,1.7,3.2,4.9,0.6,0.3,0.8,1.2,2.2,6.8
"72","Andre Iguodala","GSW",14814815,0,1040,766,4.5,9.7,0.465,0.9,2.7,0,0.713,3.6,7,0.514285714285714,34.1,2.6,3.7,1,4.2,5.2,4.4,1.5,0.5,2,1.8,12.6
"73","DeMarre Carroll","BRK",14800000,0,487,331,3.2,7.3,0.436,1.1,3.1,0,0.738,2.1,4.2,0.5,24,1.4,1.9,1.2,3,4.2,1.3,1,0.3,0.8,2,8.9
"74","Thaddeus Young","IND",14796348,0,820,590,5.8,11.6,0.499,0.4,1.3,0,0.675,5.4,10.3,0.524271844660194,30.7,1.4,2.1,2,3.9,5.9,1.6,1.5,0.4,1.4,2.2,13.4
"75","Eric Bledsoe","MIL",14500000,0,492,330,4.8,10.8,0.449,1,2.9,0,0.799,3.8,7.9,0.481012658227848,27.7,3.1,3.9,0.8,3,3.8,4.7,1.5,0.5,2.7,2.1,13.8
"76","Ricky Rubio","UTA",14275000,0,430,410,3.4,9,0.385,0.8,2.4,0,0.836,2.6,6.6,0.393939393939394,31.3,3.2,3.8,0.7,3.6,4.3,7.9,2,0.1,2.8,2.6,10.8
"77","Joe Ingles","UTA",14136364,0,324,141,2.5,5.6,0.447,1.5,3.6,0,0.761,1,2,0.5,23,0.5,0.6,0.3,2.6,2.9,2.8,1,0.1,1.3,1.7,7
"78","Gorgui Dieng","MIN",14112360,0,376,185,3.2,6.3,0.506,0.1,0.3,0,0.785,3.1,6,0.516666666666667,24.5,1.8,2.3,2.1,4.6,6.7,1.5,0.9,1.1,1.3,2.4,8.3
"79","Khris Middleton","MIL",14100000,0,378,306,5.5,12.2,0.454,1.5,3.9,0,0.877,4,8.3,0.481927710843374,31.8,2.5,2.9,0.6,3.6,4.1,3,1.4,0.2,1.8,2.7,15.1
"80","Mason Plumlee","DEN",14041096,0,389,239,3.3,5.9,0.566,0,0,0,0.566,3.3,5.9,0.559322033898305,22.3,1.9,3.4,2,4.3,6.3,2,0.8,1,1.5,2.7,8.6
"81","Taj Gibson","MIN",1.4e+07,0,667,327,4,8,0.506,0,0.1,0,0.703,4,7.9,0.506329113924051,26.1,1.6,2.3,2.4,4.1,6.4,1,0.6,1.2,1.2,2.6,9.7
"82","James Johnson","MIA",13954000,0,547,186,3.2,6.6,0.481,0.4,1.5,0,0.694,2.8,5.1,0.549019607843137,20.7,1.2,1.8,0.9,2.8,3.6,2.1,0.8,0.9,1.5,2.2,8
"83","Robin Lopez","CHI",13788500,0,692,544,3.8,7.1,0.527,0,0,0,0.76,3.8,7.1,0.535211267605634,23.2,1.5,2,2.5,3,5.4,0.8,0.3,1.2,1.1,2,9
"84","Brandon Knight","PHO",13618750,0,382,320,5.5,13.2,0.415,1.6,4.6,0,0.812,3.9,8.6,0.453488372093023,31.3,2.6,3.3,0.6,2.8,3.3,4.3,0.9,0.2,2.7,2,15.2
"85","Marvin Williams","CHO",13168750,0,939,752,3.8,8.5,0.444,0.9,2.5,0,0.808,2.9,6,0.483333333333333,28.6,2.1,2.6,1.2,4,5.3,1.3,0.8,0.5,1,2,10.5
"86","Tyson Chandler","PHO",1.3e+07,0,1079,875,3.2,5.4,0.596,0,0,0,0.646,3.2,5.4,0.592592592592593,28.3,2.2,3.3,3.2,6.2,9.4,0.9,0.6,1.2,1.5,2.9,8.6
"87","Michael Kidd-Gilchrist","CHO",1.3e+07,0,357,353,3.6,7.5,0.477,0,0.1,0,0.707,3.6,7.4,0.486486486486486,26.7,1.9,2.7,1.7,4.2,5.9,1.2,0.7,0.7,1,2.1,9.1
"88","Eric Gordon","HOU",12943020,0,561,443,5.7,13.2,0.43,2.2,5.9,0,0.816,3.5,7.3,0.479452054794521,33.2,3.2,3.9,0.4,2.1,2.5,3.1,1,0.3,2.1,2,16.7
"89","Kenneth Faried","DEN",12921348,0,441,372,4.6,8.5,0.543,0,0,0,0.655,4.6,8.5,0.541176470588235,24.9,2.2,3.4,3.1,5.1,8.2,1,0.8,0.8,1.3,2.5,11.4
"90","Marcin Gortat","WAS",12782609,0,759,544,4.4,7.9,0.552,0,0,0,0.678,4.4,7.9,0.556962025316456,26.3,1.5,2.2,2.2,5.9,8.1,1.1,0.5,1.1,1.2,2.2,10.2
"91","Cody Zeller","CHO",12584270,0,312,166,2.9,5.8,0.504,0,0.1,0,0.732,2.9,5.7,0.508771929824561,22.5,2.1,2.8,1.8,3.8,5.6,1.3,0.7,0.7,1,2.6,7.9
"92","Miles Plumlee","ATL",12500000,0,328,168,2.2,4.1,0.537,0,0,0,0.544,2.2,4.1,0.536585365853659,16.7,0.6,1,1.6,3,4.6,0.5,0.4,0.8,0.9,1.6,4.9
"93","Nikola Mirotic","NOP",12500000,0,273,70,3.9,9.3,0.419,1.8,5.1,0,0.801,2.1,4.2,0.5,23.7,2.1,2.7,0.9,4.8,5.7,1.3,0.8,0.7,1.2,2,11.8
"94","Zach Randolph","SAC",12307692,0,1116,883,6.7,14.1,0.471,0.2,0.7,0,0.764,6.5,13.4,0.485074626865672,31,3.1,4.1,2.9,6.2,9.1,1.8,0.7,0.3,2.1,2.4,16.6
"95","Nikola Vucevic","ORL",12250000,0,456,395,6.6,13.2,0.499,0.2,0.7,0,0.729,6.4,12.5,0.512,29.8,1.5,2,2.7,7.1,9.8,2.2,0.8,0.9,1.7,2.7,14.8
"96","Solomon Hill","NOP",12236535,0,261,153,2.1,5.4,0.396,0.8,2.3,0,0.816,1.3,3.1,0.419354838709677,23.1,1.2,1.4,0.7,2.6,3.3,1.6,0.7,0.2,1,1.8,6.2
"97","Wilson Chandler","DEN",12016854,0,590,447,5.2,11.7,0.445,1.3,3.9,0,0.769,3.9,7.8,0.5,31.1,1.7,2.2,1.2,4.2,5.4,1.8,0.7,0.6,1.4,2.7,13.5
"98","Jeremy Lin","BRK",1.2e+07,0,406,217,4.1,9.4,0.433,1,2.8,0,0.805,3.1,6.6,0.46969696969697,26.6,2.9,3.6,0.4,2.4,2.9,4.5,1.2,0.4,2.4,2.3,12
"99","Kemba Walker","CHO",1.2e+07,0,523,478,6.6,15.8,0.415,2,5.5,0,0.834,4.6,10.3,0.446601941747573,33.9,3.9,4.6,0.6,3.2,3.7,5.4,1.3,0.4,2.1,1.5,18.9
"100","Derrick Favors","UTA",1.2e+07,0,556,366,4.7,9,0.517,0,0.2,0,0.663,4.7,8.8,0.534090909090909,26.1,2.2,3.3,2.5,4.7,7.2,1.1,0.8,1.3,1.5,2.7,11.6
"101","Austin Rivers","LAC",11825000,0,408,130,3.5,8.4,0.419,1,2.8,0,0.649,2.5,5.6,0.446428571428571,24.2,1.4,2.1,0.3,1.7,2,2.4,0.7,0.2,1.2,2.2,9.4
"102","Courtney Lee","NYK",11747890,0,753,503,3.8,8.4,0.451,1.1,2.9,0,0.856,2.7,5.5,0.490909090909091,28.1,1.3,1.5,0.5,2.2,2.7,1.7,1,0.3,1,1.7,10
"103","Nikola Pekovic","MIN",11600000,0,271,194,4.8,9.4,0.518,0,0,0,0.76,4.8,9.4,0.51063829787234,24.9,2.9,3.8,3,3.7,6.7,0.7,0.5,0.6,1.5,2.3,12.6
"104","Jordan Clarkson","CLE",11562500,0,301,138,5.5,12.4,0.443,1.3,3.7,0,0.807,4.2,8.7,0.482758620689655,27.6,1.9,2.4,0.8,2.4,3.2,2.8,0.9,0.1,1.7,1.8,14.1
"105","John Henson","MIL",11422536,0,391,152,3.4,6.2,0.541,0,0,0,0.572,3.4,6.2,0.548387096774194,20.4,1.2,2,1.9,3.6,5.5,1.1,0.5,1.5,1.1,2.3,7.9
"106","Dion Waiters","MIA",1.1e+07,0,365,183,5.1,12.4,0.412,1.2,3.6,0,0.701,3.9,8.8,0.443181818181818,28.7,1.9,2.7,0.4,2.2,2.7,2.8,1,0.3,1.9,2,13.3
"107","Amir Johnson","PHI",1.1e+07,0,819,479,3,5.3,0.572,0.1,0.3,0,0.67,2.9,5,0.58,21.7,1,1.5,2,3.5,5.5,1.2,0.6,1,1.1,3,7.2
"108","Jamal Crawford","ATL",10942762,0,1262,433,5.2,12.7,0.41,1.7,4.9,0,0.862,3.5,7.8,0.448717948717949,29.9,2.9,3.3,0.4,1.9,2.3,3.4,0.9,0.2,1.9,1.5,15
"109","Alec Burks","UTA",10845506,0,365,43,3.4,7.9,0.426,0.6,1.8,0,0.765,2.8,6.1,0.459016393442623,21,2.3,3.1,0.6,2.3,2.9,1.6,0.6,0.1,1.3,1.8,9.7
"110","Patty Mills","SAS",10714286,0,523,54,3,7,0.432,1.4,3.7,0,0.848,1.6,3.3,0.484848484848485,18.3,0.8,0.9,0.3,1.3,1.6,2.3,0.6,0.1,1,1.2,8.2
"111","Kelly Olynyk","MIA",10607169,0,354,58,3.7,7.7,0.481,1,2.7,0,0.75,2.7,5,0.54,21.3,1.4,1.9,1.3,3.6,4.9,1.9,0.7,0.5,1.5,2.9,9.9
"112","Omer Asik","CHI",10595505,0,471,262,2,3.8,0.528,0,0,0,0.551,2,3.8,0.526315789473684,19.6,1.2,2.3,2.2,4.9,7.1,0.6,0.4,0.7,1.2,2,5.3
"113","Terrence Ross","ORL",10500000,0,411,176,3.6,8.6,0.421,1.6,4.4,0,0.798,2,4.2,0.476190476190476,23.8,0.7,0.9,0.4,2.3,2.6,1,0.8,0.3,0.8,1.8,9.6
"114","Mirza Teletovic","MIL",10500000,0,324,14,2.9,7.1,0.406,1.7,4.5,0,0.755,1.2,2.6,0.461538461538462,17.8,0.7,1,0.6,2.6,3.2,0.8,0.3,0.3,0.8,1.7,8.1
"115","Bojan Bogdanovic","IND",10500000,0,318,201,4.3,9.5,0.452,1.6,4.3,0,0.863,2.7,5.2,0.519230769230769,26.8,1.9,2.2,0.5,2.7,3.2,1.2,0.5,0.1,1.4,1.6,12.1
"116","Jon Leuer","DET",10497319,0,336,79,2.7,5.7,0.478,0.4,1.1,0,0.769,2.3,4.6,0.5,16.5,0.9,1.1,1,3,4,0.9,0.4,0.3,0.7,1.6,6.7
"117","Iman Shumpert","SAC",10337079,0,384,205,2.7,6.8,0.396,1,3,0,0.763,1.7,3.8,0.447368421052632,25.4,0.9,1.2,0.7,2.7,3.4,1.9,1.2,0.2,1.2,2.4,7.3
"118","Maurice Harkless","POR",10162922,0,415,224,2.9,6.1,0.474,0.6,1.9,0,0.607,2.3,4.2,0.547619047619048,23,0.9,1.5,1.2,2.4,3.6,0.9,1,0.6,0.9,1.9,7.3
