"","Player","Tm","Salary","idTeam","gp","gs","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","fg2m","fg2a","pctFG2","minutes","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts"
"119","Jared Dudley","PHO",1e+07,0,788,260,2281,4889,0.466557,810,2048,0,0.732899,1471,2841,0.517775431186202,18452,900,1228,761,1860,2621,1279,658,147,710,1457,6272
"120","Darren Collison","IND",1e+07,0,632,441,2962,6278,0.471806,556,1416,0,0.854739,2406,4862,0.494858083093377,18654,1524,1783,296,1357,1653,3084,710,97,1257,1069,8004
"121","Danny Green","SAS",1e+07,0,540,464,1684,4028,0.418073,965,2443,0,0.814671,719,1585,0.453627760252366,13551,422,518,300,1552,1852,871,536,453,565,900,4755
"122","Meyers Leonard","POR",9904495,0,332,40,704,1504,0.468085,221,592,0,0.824267,483,912,0.529605263157895,5216,197,239,242,995,1237,263,56,103,225,748,1826
"123","Tony Snell","MIL",9821429,0,368,206,845,2012,0.41998,438,1153,0,0.80851,407,859,0.473806752037253,8333,190,235,100,788,888,387,179,85,235,510,2318
"124","Al Jefferson","IND",9769821,0,915,651,6161,12344,0.499108,8,66,0,0.710554,6153,12278,0.501140250855188,26299,2013,2833,2054,5636,7690,1347,628,1093,1211,2347,14343
"125","Matthew Dellavedova","MIL",9607500,0,329,88,703,1800,0.390555,331,854,0,0.84,372,946,0.39323467230444,7217,231,275,137,485,622,1230,168,16,419,671,1968
"126","Joe Johnson","SAC",9505000,0,1276,1091,7822,17719,0.441447,1978,5331,0,0.802479,5844,12388,0.471746851792057,44231,2783,3468,1067,3992,5059,5001,1071,260,2451,2252,20405
"127","Bogdan Bogdanovic","SAC",9470614,0,78,52,344,772,0.445595,129,329,0,0.840336,215,443,0.485327313769752,2175,100,119,31,192,223,258,72,16,125,172,917
"128","Andre Roberson","OKC",9259259,0,295,269,563,1168,0.48202,108,421,0,0.467432,455,747,0.609103078982597,6651,122,261,348,840,1188,257,264,195,181,641,1356
"129","Trevor Booker","PHI",9125000,0,532,162,1548,3003,0.515484,75,246,0,0.635794,1473,2757,0.534276387377584,10873,508,799,1029,1903,2932,565,355,277,540,1063,3679
"130","Dwight Powell","DAL",9003125,0,254,29,626,1170,0.535042,54,185,0,0.738522,572,985,0.580710659898477,4233,370,501,330,743,1073,193,173,101,144,479,1676
"131","Jerryd Bayless","PHI",9e+06,0,552,93,1637,3950,0.41443,470,1284,0,0.824137,1167,2666,0.437734433608402,11828,956,1160,165,1008,1173,1555,352,71,793,1150,4700
"132","Avery Bradley","LAC",8808989,0,459,386,2284,5204,0.438893,595,1624,0,0.771956,1689,3580,0.471787709497207,13052,501,649,297,1083,1380,797,497,95,666,977,5664
"133","JaMychal Green","MEM",8533333,0,234,145,730,1530,0.477124,113,323,0,0.764705,617,1207,0.511184755592378,5253,325,425,472,954,1426,234,130,97,267,615,1898
"134","E'Twaun Moore","NOP",8445024,0,462,148,1430,3146,0.454545,406,1054,0,0.740181,1024,2092,0.489483747609943,9692,245,331,202,703,905,835,308,107,412,722,3511
"135","Rudy Gay","SAS",8406000,0,810,721,5498,12135,0.453069,829,2414,0,0.794682,4669,9721,0.480300380619278,28046,2690,3385,1193,3550,4743,1783,1053,654,1894,1984,14515
"136","Kosta Koufos","SAC",8393000,0,644,227,1677,3124,0.536811,0,4,0,0.587463,1677,3120,0.5375,10771,403,686,1146,2129,3275,323,276,488,452,1330,3757
"137","Markieff Morris","WAS",8e+06,0,521,315,2404,5328,0.451201,373,1103,0,0.778471,2031,4225,0.480710059171598,13769,998,1282,704,2216,2920,901,483,310,882,1519,6179
"138","Vince Carter","SAC",8e+06,0,1405,973,8990,20567,0.437107,2106,5650,0,0.79873,6884,14917,0.461486894147617,44165,4782,5987,1609,4679,6288,4579,1463,836,2509,3764,24868
"139","Garrett Temple","SAC",8e+06,0,439,156,871,2151,0.404927,348,976,0,0.724576,523,1175,0.445106382978723,8388,342,472,171,712,883,728,361,122,408,779,2432
"140","Cristiano Felicio","CHI",7843500,0,152,20,295,508,0.580708,0,6,0,0.665071,295,502,0.587649402390438,2338,139,209,237,409,646,121,47,41,100,245,729
"141","Shaun Livingston","GSW",7692308,0,769,191,2040,4209,0.484675,13,71,0,0.794223,2027,4138,0.489850169163847,16221,880,1108,449,1423,1872,2369,555,284,996,1424,4973
"142","Cory Joseph","IND",7630000,0,446,86,1218,2706,0.45011,182,553,0,0.764617,1036,2153,0.481189038550859,9293,510,667,222,862,1084,1164,312,89,440,642,3128
"143","Corey Brewer","LAL",7579366,0,783,307,2629,6187,0.424923,489,1729,0,0.713261,2140,4458,0.480035890533872,18248,1194,1674,585,1618,2203,1209,987,215,929,1698,6941
"144","Andrew Wiggins","MIN",7574322,0,327,327,2369,5301,0.446896,311,943,0,0.740858,2058,4358,0.472234970169803,11841,1398,1887,423,928,1351,683,337,177,684,701,6447
"145","Darrell Arthur","DEN",7464912,0,503,106,1381,3110,0.444051,161,458,0,0.765458,1220,2652,0.460030165912519,8944,359,469,547,1221,1768,409,309,307,422,1234,3282
"146","Greg Monroe","BOS",5e+06,0,589,415,3247,6310,0.51458,0,12,0,0.706972,3247,6298,0.515560495395364,16995,1602,2266,1702,3355,5057,1330,658,355,1154,1345,8096
"147","Jamal Crawford","MIN",4328000,0,1262,433,6576,16025,0.410358,2153,6175,0,0.862308,4423,9850,0.449035532994924,37777,3601,4176,458,2405,2863,4309,1146,259,2377,1932,18906
"148","Dwyane Wade","MIA",2328652,0,982,907,8038,16657,0.482559,463,1613,0,0.766666,7575,15044,0.50352299920234,33893,5543,7230,1189,3459,4648,5400,1561,847,3160,2210,22082
